SITE,HOLE,CORE,CORE_TYPE,SECTION,TOP_DEPTH,BOTTOM_DEPTH,Max (Diameter) (µm),Elongation,Age (Ma),Min (Diameter) (µm),Shape Factor,Sphericity
925,C,4,H,4,66,68,529.426089,1.444904983,0.9665,150.845307,0.805346652,0.678454675
925,C,4,H,4,73,74,542.455646,1.456389475,0.9692,156.7314938,0.810004858,0.689655184
925,C,4,H,4,76,78,502.0574279,1.444177785,0.9698,154.9912913,0.816084009,0.699037779
925,C,4,H,4,92,93,516.5861059,1.415428033,0.973,144.7345616,0.778740606,0.679493648
925,C,4,H,4,106,108,536.8608877,1.399994297,0.9758,161.6805486,0.812093887,0.696938482
925,C,4,H,4,122,123,507.7486573,1.423223289,0.979,150.1625542,0.807091849,0.681227455
925,C,4,H,4,136,138,532.4050759,1.419246322,0.983117647,158.1596983,0.806531446,0.684567321
925,C,4,H,4,144,145,521.7166123,1.447221806,0.985470588,152.378247,0.804460963,0.673678392
925,C,4,H,5,2,3,471.5435715,1.425416829,0.987823529,141.8575834,0.788453701,0.694011664
925,C,4,H,5,12,13,548.0538065,1.446648478,0.9910625,148.9268447,0.772575409,0.667412211
925,C,4,H,5,19,20,520.9150448,1.427728595,0.99346875,156.1884628,0.816261744,0.6856438
925,C,4,H,5,29,30,541.9699692,1.42522049,0.99690625,154.3285224,0.809757386,0.682450149
925,C,4,H,5,36,38,509.7742345,1.42460486,0.9993125,147.1563411,0.790532651,0.680621502
925,C,4,H,5,44,45,479.6279918,1.419690274,1.002,154.8307443,0.821139533,0.690203752
925,C,4,H,5,49,50,488.6978525,1.431099298,1.003666667,134.6208397,0.810046446,0.676338935
925,C,4,H,5,55,57,516.4996648,1.442397705,1.005666667,139.6658842,0.805871545,0.676380821
925,C,4,H,5,65,67,662.190795,1.437047957,1.009,143.6603082,0.782969038,0.67205858
925,C,4,H,5,79,80,532.3828816,1.471613775,1.013744186,148.1794583,0.680012484,1478
925,C,4,H,5,84,85,511.8528138,1.452743375,1.015604651,147.6359734,0.690433384,1356.5
925,C,4,H,5,94,95,491.876697,1.454804806,1.019325581,132.1527206,0.67818096,1082.5
925,C,4,H,5,96,97,524.9935336,1.438565246,1.020069767,144.6107346,0.679807199,1269
925,C,4,H,5,99,100,511.4238094,1.445446929,1.021186047,139.751519,0.790317618,0.674526678
925,C,4,H,5,102,103,470.9074245,1.433339456,1.022302326,128.0655755,0.794446305,0.67874612
925,C,4,H,5,106,107,481.2214675,1.424757511,1.023790698,133.4729135,0.793933126,0.68266629
925,C,4,H,5,108,109,504.1867788,1.463997891,1.024534884,114.3252797,0.80380635,0.674353787
925,C,4,H,5,111,112,457.7185048,1.435091068,1.025651163,126.8110928,0.789853279,0.680425837
925,C,4,H,5,117,118,444.8681026,1.441622316,1.027883721,138.638212,0.686435095,1395
925,C,4,H,5,122,123,507.84879,1.429914909,1.029765217,147.8153474,0.679956671,1134.5
925,C,4,H,5,124,125,433.1071717,1.509457823,1.030530435,116.3221917,0.66649137,1693.5
925,C,4,H,5,128,129,448.7880623,1.513404108,1.03206087,109.3204676,0.659901429,1499.5
925,C,5,H,2,7,8,504.6267971,1.425509425,1.183142857,145.6512626,0.68244439,1155
925,C,5,H,2,20,21,487.6136643,1.412485802,1.186857143,147.3251686,0.697366218,3546
925,C,5,H,2,44,45,521.989447,1.442457337,1.193714286,141.5446777,0.678730368,1836
925,C,5,H,2,54,55,470.59976,1.414736625,1.196571429,143.6799116,0.79456178,0.687821366
925,C,5,H,2,72,73,505.9335937,1.436958618,1.202254545,146.8592971,0.681293755,1496
925,C,5,H,2,77,78,448.8423957,1.44728026,1.203890909,138.7998696,0.683596875,2747.5
925,C,5,H,2,84,85,482.3285703,1.420113199,1.206181818,144.141268,0.81891175,0.694820301
925,C,5,H,2,87,88,434.5990442,1.414441416,1.207163636,137.6734167,0.801194916,0.694228677
925,C,5,H,2,91,92,464.7425497,1.425999874,1.208472727,142.382575,0.698471509,2490.5
925,C,5,H,2,96,97,446.0899739,1.413191651,1.210109091,140.3325005,0.802153332,0.699056787
925,C,5,H,2,99,100,481.7058814,1.429165644,1.211090909,129.7636098,0.807252086,0.694268149
925,C,5,H,2,104,105,444.9074674,1.428801826,1.212727273,142.0705128,0.82155478,0.708810527
925,C,5,H,2,109,110,419.7782745,1.43375789,1.214363636,119.8711153,0.700655391,1402
925,C,5,H,2,119,120,472.1421138,1.450444508,1.217938776,139.3687561,0.698578092,1175
925,C,5,H,2,124,125,484.6252925,1.469407429,1.219877551,150.3298288,0.69378319,2225.5
925,C,5,H,2,145,146,512.7302875,1.414220887,1.228020408,151.2957692,0.687837569,1753
925,C,5,H,3,4,5,479.1398096,1.406965678,1.231510204,142.0378946,0.806712526,0.684304242
925,C,5,H,3,24,25,507.257002,1.42145516,1.239265306,140.4548138,0.795155928,0.681818167
925,C,5,H,3,36,37,513.8771202,1.425586617,1.243918367,144.5765642,0.803687603,0.68153673
925,C,5,H,3,46,47,492.9865385,1.405144515,1.247795918,144.4257638,0.701637882,1766
925,C,5,H,3,64,65,505.9437209,1.428507348,1.254794521,145.0126785,0.820764746,0.696419091
925,C,5,H,3,74,75,502.1852863,1.43265388,1.258767123,145.0065667,0.806614456,0.691743303
925,C,5,H,3,87,88,511.9316394,1.436898132,1.263931507,148.4830689,0.809190089,0.700242654
925,C,5,H,3,103,104,519.2545982,1.463390034,1.270287671,150.8641159,0.681903886,1020
925,C,5,H,3,116,117,513.6571877,1.481528755,1.275452055,138.9271728,0.681872342,2328
925,C,5,H,3,126,127,510.9277711,1.406859634,1.279424658,141.2355058,0.792224833,0.689003087
925,C,5,H,3,139,140,493.3834767,1.402024481,1.284411765,144.5806016,0.810543719,0.694182224
925,C,5,H,3,147,148,482.0544632,1.395399309,1.287235294,141.7791267,0.796796638,0.688685442
925,C,5,H,4,7,8,484.8704344,1.410452323,1.290764706,144.5248817,0.806005107,0.691550741
925,C,5,H,4,14,15,496.9934434,1.433637738,1.293235294,135.752248,0.691148968,939
925,C,5,H,4,24,25,512.3076394,1.421205495,1.296764706,141.5144795,0.689009933,1341.5
925,C,5,H,4,35,36,532.7968001,1.41045303,1.300647059,144.544528,0.811999224,0.685282308
925,C,5,H,4,43,44,527.3300796,1.425348304,1.302983333,148.2240534,0.692519196,2144
925,C,5,H,4,59,60,527.8811401,1.474619096,1.307516667,147.7429409,0.686859874,2354
925,C,5,H,4,79,80,508.8935762,1.421723677,1.313183333,143.081533,0.806549212,0.691249232
925,C,5,H,4,99,100,495.8116779,1.432368044,1.318517241,148.2606071,0.693014869,1452
925,C,5,H,4,106,107,493.8574941,1.429125254,1.319724138,135.1847487,0.804563519,0.68605092
925,C,5,H,4,111,112,501.4477564,1.408304612,1.320586207,149.6653554,0.693137464,1375.5
925,C,5,H,4,118,119,521.7147464,1.44595297,1.321793103,141.1538741,0.6830587,1752
925,C,5,H,4,124,125,485.9682197,1.420220424,1.322827586,139.3171367,0.688680364,1341.5
925,C,5,H,4,128,129,524.9523486,1.437257327,1.323517241,141.69281,0.679722981,3432
925,C,5,H,4,135,136,469.5489601,1.395098194,1.324724138,136.3855467,0.79675999,0.690184216
925,C,5,H,4,142,143,488.9433809,1.403858888,1.325931034,138.3449581,0.804244578,0.689897602
925,C,5,H,4,145,146,470.6410795,1.408044218,1.326448276,134.9830162,0.689339079,1470
925,C,5,H,5,1,2,518.4568721,1.439373105,1.327482759,143.8513111,0.68453726,1210
925,C,5,H,5,7,8,464.087926,1.424811913,1.32947619,129.5470808,0.806064348,0.685262203
925,C,5,H,5,14,15,525.6262637,1.457658574,1.332920635,142.5922156,0.682425175,1073.5
925,C,5,H,5,19,20,513.6696138,1.421349576,1.335380952,142.029974,0.795747352,0.683589517
925,C,5,H,5,25,26,522.1390008,1.436033562,1.338333333,144.0450444,0.810695194,0.680406029
925,C,5,H,5,32,33,598.8782373,1.435587413,1.341777778,146.8384489,0.684395949,1182.5
925,C,5,H,5,36,37,579.6059813,1.461086215,1.343746032,149.5372928,0.67911318,1025.5
925,C,5,H,5,45,46,594.9504255,1.453506657,1.348174603,131.889199,0.788115249,0.667609272
925,C,5,H,5,49,50,624.3074212,1.450159394,1.350142857,148.1761909,0.679438259,1567.5
925,C,5,H,5,56,57,601.9204911,1.460306418,1.353587302,147.9499883,0.672856584,1403.5
925,C,5,H,5,59,60,567.1906355,1.433978879,1.355063492,149.5165773,0.675052739,1519
925,C,5,H,5,76,77,522.2289008,1.435795848,1.361673267,136.0875389,0.802956666,0.675382615
925,C,5,H,5,87,88,516.9180197,1.425838713,1.364940594,150.0580201,0.818129207,0.686014652
925,C,5,H,5,95,96,506.0422491,1.430108376,1.367316832,144.1451641,0.682509807,3454.5
925,C,5,H,5,108,109,506.7145238,1.432536305,1.371178218,147.0340867,0.821530974,0.688775879
925,C,5,H,5,115,117,482.0864914,1.431988108,1.373257426,144.0663891,0.683750222,1309.5
925,C,5,H,5,125,126,460.8833428,1.404364591,1.376227723,147.3230163,0.695886894,1517
925,C,5,H,5,135,136,455.2170786,1.428600156,1.37919802,140.2029917,0.691862569,3012
925,C,5,H,5,144,145,461.4046746,1.415820513,1.381871287,138.3786705,0.799522831,0.692763109
925,C,5,H,6,5,6,503.2709583,1.473633501,1.385138614,130.2285858,0.687010402,1421.5
925,C,5,H,6,15,17,508.6488488,1.432392808,1.388108911,138.554274,0.816109374,0.694722306
925,C,5,H,6,41,42,493.9127154,1.415755845,1.396585106,141.0158433,0.801445205,0.691161779
925,C,5,H,6,51,52,526.3706316,1.426007658,1.399882979,148.8414096,0.824791998,0.687291955
925,C,5,H,6,63,65,517.0624892,1.427855671,1.403840426,146.8592971,0.686193164,1774.5
925,C,6,H,4,59,61,494.074344,1.427942678,1.631333333,148.1990623,0.684237691,1851.5
925,C,6,H,4,71,73,497.5947782,1.425042836,1.635222222,144.2799218,0.684737555,1795
925,C,6,H,4,77,79,505.7135043,1.401271309,1.637055556,143.9971305,0.794487771,0.684806136
925,C,6,H,4,80,82,476.7019526,1.421509846,1.637972222,146.1177423,0.686939369,2210.5
925,C,6,H,4,84,86,492.9724618,1.405327482,1.639194444,151.1394311,0.693415092,1649.5
925,C,6,H,4,88,90,484.3751905,1.416045501,1.640416667,146.8592971,0.686276267,2628.5
925,C,6,H,4,92,94,447.053759,1.401948796,1.641638889,147.5860603,0.825595787,0.694912791
925,C,6,H,4,96,98,458.5708551,1.420185443,1.642861111,146.9993565,0.689862559,3063.5
925,C,6,H,4,100,102,430.939483,1.409215289,1.644083333,137.8130387,0.790198016,0.688569546
925,C,6,H,4,103,105,460.5090384,1.405588551,1.645,144.1054726,0.812789735,0.694450504
925,C,6,H,4,107,109,473.3519386,1.415081917,1.646468354,147.5546944,0.691074987,3267.5
925,C,6,H,4,119,121,545.1175549,1.421295489,1.650873418,146.8592971,0.682027813,1174
925,C,6,H,4,133,135,550.8801647,1.404418713,1.656012658,146.748476,0.795211674,0.678291437
925,C,6,H,4,139,141,577.3471684,1.408087247,1.65821519,150.5143461,0.680769974,1799
